timestamp,Temperature,Humidity,Precipitation,Wind_Speed,Wind_Direction
20200807T0400,22.127972,85,0,4.295571,330.25513
20200807T0500,22.587973,82,0,3.8142672,335.22485
20200807T0600,23.057972,81,0,4.2624,360
20200807T0700,23.567972,86,0,5.8182635,15.945404
20200807T0800,24.927973,81,0,6.1963058,25.463333
20200807T0900,26.717972,74,0,6.0397053,41.42366
20200807T1000,27.887972,69,0,5.9150395,54.16234
20200807T1100,26.527971,76,0.5,4.161301,50.194427
20200807T1200,25.937971,79,0.3,3.0374274,37.87497
20200807T1300,25.747972,79,0.6,3.118132,19.983109
20200807T1400,25.647972,79,0.7,3.700947,30.256424
20200807T1500,25.447971,81,0.8,4.3038235,21.801407
20200807T1600,25.587973,83,0.5,5.5625954,16.69925
20200807T1700,25.167973,86,0,6.3322554,14.620865
20200807T1800,24.267971,89,0,5.619714,5.440323
20200807T1900,23.637972,86,0,0.84243083,198.43495
20200807T2000,23.867971,84,0,4.13564,14.931412
20200807T2100,24.017971,81,0,6.6812778,355.4261
20200807T2200,24.007973,79,0,6.828368,339.44397
20200807T2300,23.837973,78,0,6.3154216,332.35403
20200808T0000,23.617971,79,0,5.897015,341.56506
20200808T0100,23.417973,80,0,5.3545737,354.28943
20200808T0200,23.377972,79,0,5.0615997,360
20200808T0300,24.007973,77,0,5.1243067,8.972626
20200808T0400,24.147972,77,0,4.652476,13.240509
20200808T0500,23.407972,81,0,5.651197,8.130096
20200808T0600,23.407972,81,0,5.8849683,354.8056
20200808T0700,24.917973,78,0,8.27128,14.931412
20200808T0800,26.127972,73,0,9.266738,18.434952
20200808T0900,27.237972,68,0,8.014169,21.447723
20200808T1000,28.527971,64,0,6.5795946,21.370605
20200808T1100,29.527971,59,0,5.2878885,40.914368
20200808T1200,30.287971,56,0,6.1963058,64.53666
20200808T1300,29.687971,59,0,9.899905,66.194046
20200808T1400,28.107971,67,0.2,8.424308,55.304832
20200808T1500,28.327972,65,0,7.539638,32.005356
20200808T1600,27.537971,68,0,6.579594,31.759476
20200808T1700,28.177973,69,0,4.3935814,14.03624
20200808T1800,26.787971,71,0,4.295571,352.875
20200808T1900,25.587973,75,0,3.2408962,279.46234
20200808T2000,25.317972,75,0,2.6772869,354.28943
20200808T2100,25.497972,72,0,4.0313635,7.594635
20200808T2200,26.367971,70,0,5.068606,356.98724
20200808T2300,26.517971,71,0.4,4.5600333,353.29016
20200809T0000,26.357971,73,1.5,4.00487,3.8140564
20200809T0100,26.147972,75,1.4,3.7391024,4.085617
20200809T0200,25.557972,75,0,4.1698194,26.565033
20200809T0300,25.087973,75,0,4.824709,6.340164
20200809T0400,24.517971,75,0,5.068606,356.98724
20200809T0500,24.097973,76,0,4.824709,353.65985
20200809T0600,24.207972,78,0,5.3545737,354.28943
20200809T0700,25.407972,81,0,9.885558,14.03624
20200809T0800,27.017971,72,0,9.985559,9.211014
20200809T0900,28.297972,65,0,8.599398,16.189209
